Comparison of mean adc values for PMT 10 before and after resistors
            (1335)               (1359)
Pixel       Mean     Sigma       Mean      Sigma
1           307        0         251       56
2           334        0         259       53
3           332        0         268       54
4           361        0         258       58
5           360        0         246       56
6           351        0         266       56
7           381        0         259       54
8           339        0         249       58
9           315        0         263       61
10          286        0         249       52
11          299        0         244       53
12          321        0         244       54
14          314        0         265       66
15          258        0         234       62
